nombre,email,rol,contraseña_plana
"Oristila Karamoko",oristila.karamoko0@test.com,admin,t36YCoJk
"Brooke Yorinda",brooke.yorinda1@test.com,admin,zTfRn7yL
"Martin Robert",martin.robert2@test.com,admin,3SinO5mx
"Serge Armandez",serge.armandez3@test.com,invitado,TQl0e3gO
"Carlos Arrimadas",carlos.arrimadas4@test.com,admin,10MdoFrk
"Bonifacio Montada",bonifacio.montada5@test.com,estudiante,Mc6Juxl8
"Zigor Silvo",zigor.silvo6@test.com,estudiante,kNbc0jmv
"Fulgencia Calavera",fulgencia.calavera7@test.com,estudiante,Ic4xPty6
"Hiroshi Blanchard",hiroshi.blanchard8@test.com,estudiante,hoXGKYDT
"Amber Dubois",amber.dubois9@test.com,admin,iFkjUT8J
"Drac Surero",drac.surero10@test.com,estudiante,wNFXALjY
"George Ishikawa",george.ishikawa11@test.com,estudiante,r64I0ZAv
"Anne Tesifonte",anne.tesifonte12@test.com,invitado,2p0RX9e7
"Javier Elsa",javier.elsa13@test.com,admin,MyHjWoCI
"Aki Diosnelio",aki.diosnelio14@test.com,estudiante,bHvWGAqu
"Dolores Date",dolores.date15@test.com,admin,zrZRjG6y
"Patxi Jones",patxi.jones16@test.com,invitado,qVL6A3Hw
" Dupont Honesto",.dupont.honesto17@test.com,admin,JSGEHeUk
"Petit Segura",petit.segura18@test.com,admin,wc4BETbO
"Akihiro Ladrón",akihiro.ladrón19@test.com,admin,4QymoNd9
"Jane Perroverde",jane.perroverde20@test.com,estudiante,dUFCW9Hx
"Lambert Karamoko",lambert.karamoko21@test.com,invitado,IKyi5JVA
"Armando Dubois",armando.dubois22@test.com,invitado,JKSmtv43
"Diogenes Masson",diogenes.masson23@test.com,admin,t9JI6HRn
"Diana de la Repolla",diana.de.la.repolla24@test.com,invitado,0bi5aJ4q
"Nicolas Moreau",nicolas.moreau25@test.com,invitado,GW6SCHwk
"Protasio Petit",protasio.petit26@test.com,admin,zHIcwo19
"Pantaleón Valentino",pantaleón.valentino27@test.com,estudiante,ecBiNZ15
"Gabriel Leroy",gabriel.leroy28@test.com,admin,8cnLrl6y
"Gumersindo Smith",gumersindo.smith29@test.com,invitado,tSUxecgm
"Diosnelio Yoringel",diosnelio.yoringel30@test.com,invitado,lDIfOJ3Y
"Oier Nieve",oier.nieve31@test.com,invitado,R1nwJSm4
"Aritz de Covadonga",aritz.de.covadonga32@test.com,invitado,OEbHDfJy
"Cipriniano Vergassola",cipriniano.vergassola33@test.com,admin,dns6N2lb
"Laurent Leroy",laurent.leroy34@test.com,invitado,hk9p6x4n
"Izumi Richard",izumi.richard35@test.com,estudiante,nCc9bpmG
"Dombina Luzdivino",dombina.luzdivino36@test.com,admin,vP7aYZFk
"Thomas Gil",thomas.gil37@test.com,invitado,m59IBhMr
"Kagumi Yamada",kagumi.yamada38@test.com,invitado,307xtTaI
"Akihito Ruiz",akihito.ruiz39@test.com,invitado,s6NJSAtB
"Ana del Bosque",ana.del.bosque40@test.com,admin,Fu6CBpTP
"Froilana Tokugawa",froilana.tokugawa41@test.com,estudiante,FcRdM4fa
"Duncan Gil",duncan.gil42@test.com,estudiante,ckGw5TI3
"Luisa Segismundo",luisa.segismundo43@test.com,admin,3MBs7bPl
"Luzdivino del Carmen",luzdivino.del.carmen44@test.com,estudiante,9kCEQwMS
"Robert Fermin",robert.fermin45@test.com,admin,l1MQgRcx
"Robert Tokugawa",robert.tokugawa46@test.com,invitado,VFl7m4HJ
"Elso Blanchard",elso.blanchard47@test.com,admin,aT6WYB7E
"Rosa Arnulfo",rosa.arnulfo48@test.com,invitado,ZLaqsM0r
"Elvira Yoshida",elvira.yoshida49@test.com,invitado,D5gZcPkQ
"Ricard Elba",ricard.elba50@test.com,estudiante,xNtl8b1B
"Thais Colin",thais.colin51@test.com,invitado,wV7hGOJL
"Marcial del Rosal",marcial.del.rosal52@test.com,estudiante,hqdWsQi3
"Vanesa Madarame",vanesa.madarame53@test.com,admin,tQa672c0
"Renata Hermógenes",renata.hermógenes54@test.com,admin,d4r9PHb1
"Sergio Albar",sergio.albar55@test.com,estudiante,Ieov2PMC
"Laurent Calavera",laurent.calavera56@test.com,admin,C4VUOoAv
"Durand Calavera",durand.calavera57@test.com,invitado,W9eB8sK1
"Jezabella Jurado",jezabella.jurado58@test.com,admin,kaEMnPV9
"Zigor Takeda",zigor.takeda59@test.com,invitado,r5xL6lJ0
"Hiro Verdugo",hiro.verdugo60@test.com,estudiante,DbuIgAK0
"Rachel Robin",rachel.robin61@test.com,admin,p4LyOsCR
"Eros Vergassola",eros.vergassola62@test.com,invitado,91VL6dCy
"Lambert Alcoholado",lambert.alcoholado63@test.com,invitado,LHsJVbIw
