"usuario_id","nombre","email","rol","contraseña"
"101","Kristin Martínez","kristin.martínez0@test.com","estudiante","$2y$10$3eCQLPd5NH4NzBN2.OlbNuJYQO0vYvmo64oPKh1bQljzdoZJkr/nS"
"102","Irantzu Romeu","irantzu.romeu1@test.com","invitado","$2y$10$rtwGFbmdoicJqYulej.frORScdFRSioPGDGaUXWAWh0OOtauJ0YqW"
"103","Ricard Jaumandreu","ricard.jaumandreu2@test.com","estudiante","$2y$10$7oiJ0Hi/HBkto2FADkY1ZOx7uYBVIvKsrE1eXTeK2LrU.TO7QZjmK"
"104","Sara Romeu","sara.romeu3@test.com","estudiante","$2y$10$K4/PPE1worXfvYKevOJg6uVrC4jf3SJiAm9RjVtnfsTDVwrJtGrW2"
"105","Rúben Miranda","rúben.miranda4@test.com","estudiante","$2y$10$.8qp3k//yO/UxSZnjKdfKOun//o6ttFJr0oPsdZhBpFffQSNSgJlW"
"106","Marivega Irazusta","marivega.irazusta5@test.com","admin","$2y$10$PyuIhJKry2v1xr0JRs0xlOh65P0Xm.onk9X480lqf7tjJ76GjJ0rS"
"107","Antonio Orradre","antonio.orradre6@test.com","admin","$2y$10$W8K8cEqK3dlEjhmOkH1W3eMG8XcxIv8UkcZoF.g7XT9bmXD8KVIzy"
"108","Antonio Otero","antonio.otero7@test.com","invitado","$2y$10$6AIcAS3KczctjXbZbGHl.u8DW0KiXgIbUchMJAixsT/7tI40s8lra"
"109","Ana Becerra","ana.becerra8@test.com","admin","$2y$10$BUmNacLOsxR8L1rAT7o4BupKrTiNBbNU6tQTlXYoPwdFJ6WcJe.CS"
"110","MariCarmen Aine","maricarmen.aine9@test.com","estudiante","$2y$10$AbtC0fN9EX6dYV6Zja1Mv.S77N1jIvtNTlvTo2zkSCBeBM3ufpW2C"
"111","Nacho Ibañez","nacho.ibañez10@test.com","invitado","$2y$10$vNXQnZPuA49dHnbXrZBsxuxM9.YlHx0cVrtdm5t6jmLIYSohdVfGW"
"112","Mercé Botin","mercé.botin11@test.com","admin","$2y$10$tlXVnOxsGr.GqpJiU8HEHu3gqBnQH5jMKnsp51YwOUtD/xhdxZgR2"
"113","Irantzu San","irantzu.san12@test.com","admin","$2y$10$aO0fqGePeuHqWOIiP.oy0eDmVXW41uNX41TbMYGS6vcKvSUn/C0I."
"114","Andrea Ennis","andrea.ennis13@test.com","invitado","$2y$10$uCkokpdmgobEJTw0VoSXLeEXzNUbZmO1fgDESCcI0LMnZZQRC0lrS"
"115","Mercé Lobo","mercé.lobo14@test.com","admin","$2y$10$XfDW4TpYii3TjF4O23HfGuDnIK1P0hym5O0Tlom8X.9gyjXqaGq2e"
"116","Arturo Ortega","arturo.ortega15@test.com","estudiante","$2y$10$sPJ2R2Qy0n9bo3RxppX0ueG/4GyubYdDgpYfpBa62Zn7B0oOpqUA6"
"117","Aritz Sánchez","aritz.sánchez16@test.com","invitado","$2y$10$5JGRr3GQyswYS.06eOQwkejc4i7u99fR6d3vWcvyklFx3US8awuQa"
"118","Kristin Torres","kristin.torres17@test.com","admin","$2y$10$PRPLtL4UPOpVPam6MFGGZ.acO8Xw9wx/1Qt3gnG9Tse3EIJ1O2Me6"
"119","Elena Quijano","elena.quijano18@test.com","admin","$2y$10$fm.d58UM2MfyKV5rfLX4VOIdUlxDd89BuiQK.8NTDosM4ohjOPydS"
"120","Ricard Quijano","ricard.quijano19@test.com","admin","$2y$10$MpoX0mE6hSBNtIHncBVr8.hbEtwH53SG05O2gGtpihDIhbxqBTiyO"
"121","Aritz Artegoitia","aritz.artegoitia20@test.com","invitado","$2y$10$kQKx5pGxNxpy7GM9AMStaOMNvf9tgtaUW3IBr0P72pPkqiTaByNDq"
"122","Diana Lobo","diana.lobo21@test.com","estudiante","$2y$10$yUJZdTcgkQEQy5gR12hwVuBOa0wlhAhAiOno4RfLoes76kQigskM6"
"123","Lucía Torres","lucía.torres22@test.com","estudiante","$2y$10$q8lrrNqPLz42xIGRSaCxduRe9wHKQ89b.WHTtrtIR0VzSVkUj284G"
